,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
P280,[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],aba,Group: 1
P463,[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],cbc,Group: 1
P724,[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],cbc,Group: 1
P355,[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-2],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-2],aab,Group: 2
P454,[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-2],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-2],aab,Group: 2
P660,[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-2],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-2],abb,Group: 2
P656,[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-2],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-2],abb,Group: 2
P652,[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-2],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-2],abb,Group: 2
P428,[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-2],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-2],abb,Group: 2
P775,[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-2],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-2],aab,Group: 2
P221,[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-2],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-2],aab,Group: 2
P741,[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-2],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-2],aab,Group: 2
P252,[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-2],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-2],aab,Group: 2
P655,[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-2],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],aba,Group: 3
P426,[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-2],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],aba,Group: 3
P472,[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-2],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],aba,Group: 3
P215,[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-2],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],aba,Group: 3
P427,[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-2],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],aab,Group: 3
P712,[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-2],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],aab,Group: 3
P639,[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-2],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],aba,Group: 3
P720,[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-2],[0-2],[0-2],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-2],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],aba,Group: 3
P458,[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-1],[0-2],[0-1],[0-1],[0-3],[0-1],[0-1],[0-2],[0-0],[0-3],[0-1],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],abb,Group: 4
P685,[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-1],[0-2],[0-1],[0-1],[0-3],[0-1],[0-1],[0-2],[0-0],[0-3],[0-1],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],abb,Group: 4
P665,[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-1],[0-2],[0-1],[0-1],[0-3],[0-1],[0-1],[0-2],[0-0],[0-3],[0-1],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],bcb,Group: 4
P761,[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-1],[0-2],[0-1],[0-1],[0-3],[0-1],[0-1],[0-2],[0-0],[0-3],[0-1],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],bcb,Group: 4
P473,[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-1],[0-2],[0-1],[0-1],[0-3],[0-1],[0-1],[0-2],[0-0],[0-3],[0-1],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],bba,Group: 4
P578,[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-1],[0-2],[0-1],[0-1],[0-3],[0-1],[0-1],[0-2],[0-0],[0-3],[0-1],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],bba,Group: 4
P669,[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-1],[0-2],[0-1],[0-1],[0-3],[0-1],[0-1],[0-2],[0-0],[0-3],[0-1],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],bba,Group: 4
P239,[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-1],[0-2],[0-1],[0-1],[0-3],[0-1],[0-1],[0-2],[0-0],[0-3],[0-1],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],bba,Group: 4
P440,[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-1],[0-2],[0-1],[0-1],[0-3],[0-1],[0-1],[0-2],[0-0],[0-3],[0-1],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],aab,Group: 4
P216,[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-1],[0-2],[0-1],[0-1],[0-3],[0-1],[0-1],[0-2],[0-0],[0-3],[0-1],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],aab,Group: 4
P424,[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-2],[0-1],[0-2],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-1],[0-1],[0-2],[0-1],[0-3],[0-2],[0-2],[0-2],[0-2],[0-1],abb,Group: 5
P351,[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-2],[0-1],[0-2],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],[0-1],[0-2],[0-1],[0-1],[0-1],[0-1],[0-2],[0-1],[0-3],[0-2],[0-2],[0-2],[0-2],[0-1],abb,Group: 5
